,state,county,score
329,Georgia,Echols,0
330,Georgia,Effingham,0
331,Georgia,Elbert,0
332,Georgia,Emanuel,0
333,Georgia,Evans,0
334,Georgia,Fannin,0
335,Georgia,Fayette,0
336,Georgia,Floyd,0
337,Georgia,Forsyth,0
338,Georgia,Franklin,0
339,Georgia,Fulton,0
340,Georgia,Gilmer,0
341,Georgia,Glascock,0
342,Georgia,Glynn,0
343,Georgia,Gordon,0
344,Georgia,Grady,0
345,Georgia,Greene,0
346,Georgia,Gwinnett,0
347,Georgia,Habersham,0
348,Georgia,Hall,0
349,Georgia,Hancock,0
350,Georgia,Haralson,0
351,Georgia,Harris,0
352,Georgia,Hart,0
353,Georgia,Heard,0
354,Georgia,Henry,0
355,Georgia,Houston,0
356,Georgia,Irwin,0
357,Georgia,Jackson,0
358,Georgia,Jasper,0
359,Georgia,Jeff Davis,0
360,Georgia,Jefferson,0
361,Georgia,Jenkins,0
362,Georgia,Johnson,0
363,Georgia,Jones,0
364,Georgia,Lamar,0
365,Georgia,Lanier,0
366,Georgia,Laurens,0
367,Georgia,Lee,0
368,Georgia,Liberty,0
369,Georgia,Lincoln,0
370,Georgia,Long,0
371,Georgia,Lowndes,0
372,Georgia,Lumpkin,0
373,Georgia,Macon,0
374,Georgia,Madison,0
375,Georgia,Marion,0
376,Georgia,McDuffie,0
377,Georgia,McIntosh,0
378,Georgia,Meriwether,0
379,Georgia,Miller,0
380,Georgia,Mitchell,0
381,Georgia,Monroe,0
382,Georgia,Montgomery,0
383,Georgia,Morgan,0
384,Georgia,Murray,0
385,Georgia,Muscogee,0
386,Georgia,Newton,0
387,Georgia,Oconee,0
388,Georgia,Oglethorpe,0
389,Georgia,Paulding,0
390,Georgia,Peach,0
391,Georgia,Pickens,0
392,Georgia,Pierce,0
393,Georgia,Pike,0
394,Georgia,Polk,0
395,Georgia,Pulaski,0
396,Georgia,Putnam,0
397,Georgia,Quitman,0
398,Georgia,Rabun,0
399,Georgia,Randolph,0
400,Georgia,Richmond,0
401,Georgia,Rockdale,0
402,Georgia,Schley,0
403,Georgia,Screven,0
404,Georgia,Seminole,0
405,Georgia,Spalding,0
406,Georgia,Stephens,0
407,Georgia,Stewart,0
408,Georgia,Sumter,0
409,Georgia,Talbot,0
410,Georgia,Taliaferro,0
411,Georgia,Tattnall,0
412,Georgia,Taylor,0
413,Georgia,Telfair,0
414,Georgia,Terrell,0
415,Georgia,Thomas,0
416,Georgia,Tift,0
417,Georgia,Toombs,0
418,Georgia,Towns,0
419,Georgia,Treutlen,0
420,Georgia,Troup,0
421,Georgia,Turner,0
422,Georgia,Twiggs,0
423,Georgia,Union,0
424,Georgia,Upson,0
425,Georgia,Walker,0
426,Georgia,Walton,0
427,Georgia,Ware,0
428,Georgia,Warren,0
429,Georgia,Washington,0
430,Georgia,Wayne,0
431,Georgia,Webster,0
432,Georgia,Wheeler,0
433,Georgia,White,0
434,Georgia,Whitfield,0
435,Georgia,Wilcox,0
436,Georgia,Wilkes,0
437,Georgia,Wilkinson,0
438,Georgia,Worth,0
439,Idaho,Ada,0
440,Idaho,Adams,0
441,Idaho,Bannock,0
442,Idaho,Bear Lake,0
443,Idaho,Benewah,0
444,Idaho,Bingham,0
445,Idaho,Blaine,0
446,Idaho,Boise,0
447,Idaho,Bonner,0
448,Idaho,Bonneville,0
449,Idaho,Boundary,0
450,Idaho,Butte,0
451,Idaho,Camas,0
452,Idaho,Canyon,0
453,Idaho,Caribou,0
454,Idaho,Cassia,0
455,Idaho,Clark,0
456,Idaho,Clearwater,0
457,Idaho,Custer,0
458,Idaho,Elmore,0
459,Idaho,Franklin,0
460,Idaho,Fremont,0
461,Idaho,Gem,0
462,Idaho,Gooding,0
463,Idaho,Jefferson,0
464,Idaho,Jerome,0
465,Idaho,Kootenai,0
466,Idaho,Latah,0
467,Idaho,Lemhi,0
468,Idaho,Lewis,0
469,Idaho,Lincoln,0
470,Idaho,Madison,0
471,Idaho,Minidoka,0
472,Idaho,Nez Perce,0
473,Idaho,Oneida,0
474,Idaho,Owyhee,0
475,Idaho,Payette,0
476,Idaho,Power,0
477,Idaho,Shoshone,0
478,Idaho,Teton,0
479,Idaho,Twin Falls,0
480,Idaho,Valley,0
481,Idaho,Washington,0
482,Illinois,Adams,0
483,Illinois,Alexander,0
484,Illinois,Bond,0
485,Illinois,Boone,0
486,Illinois,Brown,0
487,Illinois,Bureau,0
488,Illinois,Calhoun,0
489,Illinois,Carroll,0
490,Illinois,Cass,0
491,Illinois,Champaign,0
492,Illinois,Christian,0
493,Illinois,Clark,0
494,Illinois,Clay,0
495,Illinois,Clinton,0
496,Illinois,Coles,0
497,Illinois,Crawford,0
498,Illinois,Cumberland,0
499,Illinois,Douglas,0
500,Illinois,Edgar,0
501,Illinois,Edwards,0
502,Illinois,Effingham,0
503,Illinois,Fayette,0
504,Illinois,Ford,0
505,Illinois,Franklin,0
506,Illinois,Fulton,0
507,Illinois,Gallatin,0
508,Illinois,Greene,0
509,Illinois,Grundy,0
510,Illinois,Hamilton,0
511,Illinois,Hancock,0
512,Illinois,Hardin,0
513,Illinois,Henderson,0
514,Illinois,Henry,0
515,Illinois,Iroquois,0
516,Illinois,Jackson,0
517,Illinois,Jasper,0
518,Illinois,Jefferson,0
519,Illinois,Jersey,0
520,Illinois,Johnson,0
521,Illinois,Kane,0
522,Illinois,Kankakee,0
523,Illinois,Kendall,0
524,Illinois,Knox,0
525,Illinois,Lake,0
526,Illinois,Lawrence,0
527,Illinois,Lee,0
528,Illinois,Livingston,0
529,Illinois,Logan,0
530,Illinois,Macon,0
531,Illinois,Macoupin,0
532,Illinois,Madison,0
533,Illinois,Marion,0
534,Illinois,Marshall,0
535,Illinois,Mason,0
536,Illinois,Massac,0
537,Illinois,McDonough,0
538,Illinois,McHenry,0
539,Illinois,McLean,0
540,Illinois,Menard,0
541,Illinois,Mercer,0
542,Illinois,Monroe,0
543,Illinois,Montgomery,0
544,Illinois,Morgan,0
545,Illinois,Moultrie,0
546,Illinois,Ogle,0
547,Illinois,Peoria,0
548,Illinois,Perry,0
549,Illinois,Piatt,0
550,Illinois,Pike,0
551,Illinois,Pope,0
552,Illinois,Pulaski,0
553,Illinois,Putnam,0
554,Illinois,Randolph,0
555,Illinois,Richland,0
556,Illinois,Rock Island,0
557,Illinois,Saline,0
558,Illinois,Sangamon,0
559,Illinois,Schuyler,0
560,Illinois,Scott,0
561,Illinois,Shelby,0
562,Illinois,Stark,0
563,Illinois,Stephenson,0
564,Illinois,Tazewell,0
565,Illinois,Union,0
566,Illinois,Vermilion,0
567,Illinois,Wabash,0
568,Illinois,Warren,0
569,Illinois,Washington,0
570,Illinois,Wayne,0
571,Illinois,White,0
572,Illinois,Whiteside,0
573,Illinois,Will,0
574,Illinois,Williamson,0
575,Illinois,Winnebago,0
576,Illinois,Woodford,0
577,Iowa,Adair,0
578,Iowa,Adams,0
579,Iowa,Allamakee,0
580,Iowa,Appanoose,0
581,Iowa,Audubon,0
582,Iowa,Benton,0
583,Iowa,Black Hawk,0
584,Iowa,Boone,0
585,Iowa,Bremer,0
586,Iowa,Buchanan,0
587,Iowa,Buena Vista,0
588,Iowa,Butler,0
589,Iowa,Calhoun,0
590,Iowa,Carroll,0
591,Iowa,Cass,0
592,Iowa,Cedar,0
593,Iowa,Cerro Gordo,0
594,Iowa,Cherokee,0
595,Iowa,Chickasaw,0
596,Iowa,Clarke,0
597,Iowa,Clay,0
598,Iowa,Clayton,0
599,Iowa,Clinton,0
600,Iowa,Crawford,0
601,Iowa,Dallas,0
602,Iowa,Davis,0
603,Iowa,Decatur,0
604,Iowa,Delaware,0
605,Iowa,Des Moines,0
606,Iowa,Dickinson,0
607,Iowa,Dubuque,0
608,Iowa,Emmet,0
609,Iowa,Fayette,0
610,Iowa,Floyd,0
611,Iowa,Franklin,0
612,Iowa,Fremont,0
613,Iowa,Greene,0
614,Iowa,Grundy,0
615,Iowa,Guthrie,0
616,Iowa,Hamilton,0
617,Iowa,Hancock,0
618,Iowa,Hardin,0
619,Iowa,Harrison,0
620,Iowa,Henry,0
621,Iowa,Howard,0
622,Iowa,Humboldt,0
623,Iowa,Ida,0
624,Iowa,Iowa,0
625,Iowa,Jackson,0
626,Iowa,Jasper,0
627,Iowa,Jefferson,0
628,Iowa,Johnson,0
629,Iowa,Jones,0
630,Iowa,Keokuk,0
631,Iowa,Kossuth,0
632,Iowa,Lee,0
633,Iowa,Linn,0
634,Iowa,Louisa,0
635,Iowa,Lucas,0
636,Iowa,Lyon,0
637,Iowa,Madison,0
638,Iowa,Mahaska,0
