,0,1,2
579,Iowa,Monona,6336.392811275483
1589,Texas,Hood,3101.2442989942
597,Iowa,Tama,1427.8293808114922
312,Georgia,McDuffie,1745.58979787308
1739,Utah,Emery,801.0466649307646
271,Georgia,Fayette,970.4153491299276
891,Mississippi,Greene,2557.5717466231663
958,Missouri,Bates,3366.58478814705
1029,Missouri,Perry,2333.4690658490936
857,Michigan,Osceola,1042.8220354936402
518,Iowa,Benton,1081.8338467712892
1235,Ohio,Muskingum,8919.071068810845
938,Mississippi,Tate,17682.730912967978
820,Michigan,Hillsdale,2240.550873948875
333,Georgia,Quitman,1806.4330456076868
1502,Texas,Briscoe,263.1665083852304
466,Illinois,Macon,185.0696585322121
1617,Texas,Lamar,1903.3641187577023
732,Louisiana,Allen,1199.8327012245363
1009,Missouri,Livingston,-688.7586767654293
1301,Oklahoma,Kiowa,2709.841935929092
189,Florida,Levy,4323.779653142766
192,Florida,Manatee,3656.2723998625415
566,Iowa,Keokuk,-326.92001562378573
556,Iowa,Henry,976.4255123703633
1236,Ohio,Noble,423.3289182412
949,Mississippi,Winston,8613.553370659236
1874,New Hampshire,Coos,866.3154640274734
52,Alabama,Pickens,4404.107136622703
1390,Tennessee,Blount,154.3204412618461
1187,Ohio,Clark,535.3115739555169
1869,Virginia,Wythe,3015.440702789644
69,Arizona,Graham,1787.1423519003565
1239,Ohio,Perry,3334.6510664659445
1563,Texas,Garza,1481.6605248241804
150,Arkansas,Washington,14734.398600664099
1473,Tennessee,Warren,3009.945391711087
997,Missouri,Iron,808.2644791115899
1491,Texas,Baylor,2905.9331283348793
1197,Ohio,Erie,13.48125077376244
289,Georgia,Heard,162.49414708532368
1136,North Carolina,Mitchell,4222.266291171337
236,Georgia,Camden,2036.0117685747173
527,Iowa,Cass,6085.379584085163
965,Missouri,Callaway,5138.90202145581
1641,Texas,Menard,2358.1272494471878
739,Louisiana,Caddo,3121.9363661897505
436,Illinois,Edgar,2280.8103345215113
1645,Texas,Mitchell,3401.590088262413
1413,Tennessee,Grainger,668.6536192788926
817,Michigan,Gogebic,6030.92055237662
1701,Texas,Throckmorton,12147.613781861903
1109,North Carolina,Forsyth,2202.358818463511
905,Mississippi,Lafayette,10947.46737776003
845,Michigan,Menominee,7148.886434237435
1380,South Carolina,Saluda,24969.041011003213
1601,Texas,Jefferson,1998.929904810674
1858,Virginia,Spotsylvania,1736.1160657538285
86,Arkansas,Calhoun,1645.3979056677845
985,Missouri,Dunklin,1369.9288458851233
638,Kentucky,Crittenden,3504.957877072585
868,Michigan,Van Buren,1954.7370272384978
862,Michigan,Roscommon,870.5032139117266
455,Illinois,Jersey,4308.18626912343
306,Georgia,Long,1072.3835381548524
643,Kentucky,Estill,15358.543106131849
706,Kentucky,Pendleton,943.232935641834
1428,Tennessee,Jackson,3805.412692649329
1582,Texas,Haskell,481.02992347018244
22,Alabama,Dale,933.7991211868857
1848,Virginia,Rappahannock,1977.9069498971458
1363,South Carolina,Greenwood,1358.0861495871095
1830,Virginia,Middlesex,3526.4159319604814
14,Alabama,Cleburne,7303.1171086752865
183,Florida,Jackson,410.58463206614306
174,Florida,Gulf,394.7544545231658
1623,Texas,Liberty,914.4094233407413
1611,Texas,Kerr,1867.6111146437215
361,Georgia,Walker,9769.288257028038
1045,Missouri,Scott,1391.4642870758953
1322,Oklahoma,Payne,6822.217456265768
1586,Texas,Hidalgo,4136.830874402501
122,Arkansas,Lonoke,1788.0381873448114
1286,Oklahoma,Ellis,1671.735787982765
169,Florida,Flagler,-558.8814354391061
865,Michigan,Schoolcraft,1358.6805596887898
844,Michigan,Mecosta,4567.901489215305
1687,Texas,Shelby,1804.295965457829
829,Michigan,Kalamazoo,228.76534104600705
353,Georgia,Toombs,1126.6400859148835
393,Idaho,Custer,1627.218498691017
1751,Utah,Sanpete,2381.510937937066
177,Florida,Hendry,-208.9329174777322
537,Iowa,Dallas,2417.2281926160213
1705,Texas,Trinity,791.7781085273118
368,Georgia,Wheeler,2538.4125232901797
534,Iowa,Clayton,1009.7457825226365
1627,Texas,Llano,1167.4573127582435
363,Georgia,Ware,919.890213626054
1091,North Carolina,Camden,9939.718156874267
827,Michigan,Isabella,727.4012073441017
1017,Missouri,Mississippi,1206.8900744107877
1132,North Carolina,Madison,-119.38502006219915
1887,New York,Franklin,2088.17533574159
305,Georgia,Lincoln,4114.912846007507
1785,Virginia,Buckingham,1807.7504540502114
1092,North Carolina,Carteret,1379.306990467052
505,Illinois,Washington,140.33843355690624
176,Florida,Hardee,690.33130481428
459,Illinois,Kendall,1778.8519770510693
1883,New York,Cayuga,2267.1326016298735
1698,Texas,Taylor,1368.5949157724235
1630,Texas,Lynn,9988.240405750457
1439,Tennessee,Madison,1200.3866046075145
1106,North Carolina,Duplin,374.36136326384894
379,Idaho,Benewah,413.5945350830425
95,Arkansas,Craighead,1382.2225810731952
1567,Texas,Gonzales,2407.324474723191
568,Iowa,Lee,-124.7760973084878
615,Kentucky,Barren,2733.5901318656734
1344,South Carolina,Bamberg,1607.1855946224068
843,Michigan,Mason,10087.535268545365
1666,Texas,Presidio,789.3342258936855
450,Illinois,Henry,510.4239308364331
1046,Missouri,Shannon,1792.5116052419326
571,Iowa,Lucas,764.6409240797466
492,Illinois,Rock Island,439.71793481667555
1833,Virginia,New Kent,4666.977306205291
347,Georgia,Tattnall,1040.6359260842346
321,Georgia,Muscogee,1436.526497706176
6,Alabama,Butler,1563.4870867001428
1166,North Carolina,Vance,1137.7474647145564
7,Alabama,Calhoun,1045.8825127609007
1143,North Carolina,Orange,-268.605800588336
71,Arizona,La Paz,1974.360459869401
1518,Texas,Clay,1576.1686581510385
1481,Texas,Andrews,897.386005753041
1256,Ohio,Van Wert,1161.5738185678883
209,Florida,Sumter,13016.192407845549
1870,Virginia,York,76.66615905071285
653,Kentucky,Grayson,1690.2341023369254
558,Iowa,Humboldt,1717.0135643655385
559,Iowa,Ida,-238.3517898437267
288,Georgia,Hart,611.8453133587918
1213,Ohio,Holmes,1352.7492301902575
717,Kentucky,Simpson,8517.612306465006
1800,Virginia,Fauquier,4426.368454799652
1406,Tennessee,Dickson,2030.4112398779625
486,Illinois,Pike,773.4913470534975
1460,Tennessee,Scott,1019.7920412830053
872,Mississippi,Adams,963.9878287806887
1282,Oklahoma,Creek,368.79511145659217
1014,Missouri,McDonald,1775.147727219054
835,Michigan,Leelanau,1514.3878369708627
1138,North Carolina,Moore,356.34762866029996
1451,Tennessee,Overton,1169.6305590811617
45,Alabama,Marion,97.62509173882881
1504,Texas,Brown,741.5808796228985
1757,Utah,Wasatch,140.72682797028665
1410,Tennessee,Franklin,719.2456439123189
28,Alabama,Franklin,1211.5434731732284
1543,Texas,Dimmit,4399.357544161691
969,Missouri,Carter,1539.941173860666
1066,Nevada,Eureka,769.3748854010828
490,Illinois,Randolph,1681.994591430911
111,Arkansas,Independence,6098.224823616946
500,Illinois,Tazewell,1169.5879470972386
1725,Texas,Winkler,213.85421365212187
1445,Tennessee,Meigs,47320.3924819904
1251,Ohio,Stark,7240.554882944903
804,Michigan,Cass,1851.948863430287
35,Alabama,Jefferson,-1403.8797591852554
195,Florida,Miami-Dade,2180.55722801048
130,Arkansas,Newton,7955.886591029405
532,Iowa,Clarke,1192.4810833220772
1507,Texas,Caldwell,-224.12955765889092
756,Louisiana,Lafayette,1667.0107988929121
1401,Tennessee,Coffee,1652.3320618140442
160,Florida,Calhoun,340.5345261493221
1425,Tennessee,Hickman,4831.260382732381
1868,Virginia,Wise,1065.9846910167062
506,Illinois,Wayne,-41.65861093957665
217,Georgia,Appling,1690.2567345092348
798,Michigan,Barry,-289.2839334336886
677,Kentucky,Letcher,1086.2702336390767
1528,Texas,Cooke,-1903.1515072156362
1020,Missouri,Montgomery,1813.3910728767924
1854,Virginia,Scott,3408.662293518254
547,Iowa,Franklin,898.8167979093023
980,Missouri,Dade,522.3786155927564
1042,Missouri,Saline,3407.6398382991238
1443,Tennessee,McMinn,-1155.8423277598358
99,Arkansas,Dallas,1376.0683359436725
1064,Nevada,Elko,7937.580761930268
1847,Virginia,Pulaski,1879.2372264230607
1707,Texas,Upshur,690.5077738336513
769,Louisiana,Richland,1082.3622149380944
928,Mississippi,Prentiss,6246.731968622847
137,Arkansas,Pope,-605.7050016866997
999,Missouri,Jasper,168.9882229894265
487,Illinois,Pope,1131.5833832495528
1447,Tennessee,Montgomery,1343.4514784831345
1700,Texas,Terry,856.6553136827779
167,Florida,Duval,-1.8771805510104969
1111,North Carolina,Gaston,1418.1219595204084
617,Kentucky,Bell,2198.0910689372586
630,Kentucky,Carlisle,5521.328554878432
624,Kentucky,Breckinridge,1586.5777274315851
262,Georgia,Dougherty,1658.3148256291524
1141,North Carolina,Northampton,-501.71373034991393
1430,Tennessee,Johnson,921.9735346110929
1843,Virginia,Powhatan,1448.6165972144372
200,Florida,Osceola,1382.371399350549
821,Michigan,Houghton,-1663.7231736279764
945,Mississippi,Washington,2522.7487929641184
795,Michigan,Antrim,-103.75783671085992
1720,Texas,Wichita,3083.2700590222166
1220,Ohio,Licking,2253.9741661971493
381,Idaho,Blaine,3824.179964159647
805,Michigan,Charlevoix,1904.1834832510804
255,Georgia,Crawford,690.4505795452596
1884,New York,Clinton,7983.800008666701
1760,Utah,Weber,350.3559361363941
1568,Texas,Gray,19674.340298028896
896,Mississippi,Holmes,-327.9545740196727
565,Iowa,Jones,1798.289574728461
746,Louisiana,East Baton Rouge,200.87159792807233
191,Florida,Madison,2436.2376342907764
1404,Tennessee,Davidson,552.6765925454147
1838,Virginia,Nottoway,1685.7175655140081
924,Mississippi,Pearl River,-324.65129923068616
1649,Texas,Morris,725.6463816976657
1711,Texas,Van Zandt,553.2907820741684
709,Kentucky,Powell,-265.92589191370735
1123,North Carolina,Hyde,321.4994821964601
1300,Oklahoma,Kingfisher,1501.5334776424752
988,Missouri,Gentry,6505.0849106913
327,Georgia,Pickens,327.7593417429998
1255,Ohio,Union,4521.567477920157
603,Iowa,Washington,1487.8573121366962
404,Idaho,Lewis,1369.592549178743
1293,Oklahoma,Harper,506.27802269117365
886,Mississippi,Copiah,4714.199098410113
355,Georgia,Treutlen,3502.6689465096088
