,0,1,2
1711,Texas,Polk,4390.9744635024235
1459,Tennessee,Giles,34.24662154451971
1309,Ohio,Wood,758.0987383450429
958,Missouri,Lafayette,-163.3897534620828
1791,Utah,Kane,1449.1968520605274
1774,Texas,Wood,1541.5937653900714
1409,South Carolina,Greenville,2223.0278190033755
502,Illinois,Effingham,616.2803376358975
1212,North Carolina,Union,476.78255652386906
194,Colorado,Mineral,1679.2665974095303
1270,Ohio,Lucas,481.0084091966696
1871,Virginia,Loudoun,3560.8553080366123
128,Arkansas,Montgomery,4252.584744919743
1811,Vermont,Essex,130.56261988495407
1512,Tennessee,Stewart,-45.159928914043576
16,Alabama,Colbert,3043.289552725337
265,Florida,Palm Beach,647.4729103082709
1398,South Carolina,Chester,-38.29348557781077
66,Arizona,Cochise,571.681132904434
770,Michigan,Gladwin,555.0211031428985
811,Michigan,Osceola,155.83857395600444
1505,Tennessee,Robertson,65.29356370160622
297,Georgia,Burke,-111.79608699593655
1282,Ohio,Muskingum,153.76420643940264
1885,Virginia,Nottoway,6.454948633772801
952,Missouri,Jackson,1083.4801240110532
533,Illinois,Marion,356.65297439640744
542,Illinois,Monroe,606.0544737177556
74,Arizona,Navajo,804.7276564910308
1910,Virginia,Tazewell,450.4403482554899
808,Michigan,Oceana,650.3963785737733
702,Louisiana,Lincoln,650.9379795094696
1423,South Carolina,Oconee,4688.916838560843
1100,Nebraska,Thurston,512.6368672608905
374,Georgia,Madison,552.0907803876858
353,Georgia,Heard,18077.617392302374
205,Colorado,Pueblo,1075.5461340513975
1142,North Carolina,Chatham,352.5584880840138
666,Iowa,Warren,163.0682788054778
186,Colorado,Kit Carson,836.8400620261505
130,Arkansas,Newton,18993.06200450421
204,Colorado,Prowers,971.3542584388797
1411,South Carolina,Hampton,14598.275242528576
99,Arkansas,Dallas,-439.499006411575
1018,Nebraska,Blaine,2385.4485385921294
1296,Ohio,Seneca,34839.47141151706
1565,Texas,Clay,795.8975028314012
1080,Nebraska,Pawnee,522.5661999529643
653,Iowa,Pottawattamie,678.4886233147067
830,Mississippi,Benton,-163.67669047043114
718,Louisiana,Union,1224.6731601297306
914,Missouri,Bollinger,306.1478670063966
11,Alabama,Choctaw,964.69659449561
1336,Oklahoma,Grady,2061.545326513224
1756,Texas,Uvalde,283.9747942564413
411,Georgia,Tattnall,27580.584760755977
127,Arkansas,Monroe,-53.51543715819116
696,Louisiana,Iberia,213.66387447149054
13,Alabama,Clay,366.7678122339371
1494,Tennessee,Montgomery,160.68437383595028
510,Illinois,Hamilton,286.8720899451032
1054,Nebraska,Hamilton,543.060311558238
1849,Virginia,Fluvanna,678.0421314626747
732,Maine,Oxford,1317.6108849708457
1650,Texas,Jim Wells,745.9118801000354
